Item,Manufacturer,Cat. #
"PCR tubes, attached flat cap, 0.2 mL","USA Scientific, Inc.",1402-8100
"PCR  8-tube strips, attached caps, 0.2 mL","USA Scientific, Inc.",1402-3900
"TempPlate Semi-Skirted 96-Well PCR Plate, 0.2 mL","USA Scientific, Inc.",1402-9700
BcgI - 250 units,"New England Biolabs, Inc.",R0545S
"T4 DNA Ligase - 100,000 units","New England Biolabs, Inc.",M0202L
"Thermo Scientific Maxima SYBR Green qPCR Master Mix (2X), with separate ROX vial","Thermo Fisher Scientific, Inc.",FERK0252
Eppendorf twin.tec Real-Time 96-Well PCR Plates,Eppendorf,951022043
Eppendorf Masterclear Real-time PCR Film,Eppendorf,30132947
Titanium Taq DNA Polymerase 500 Rxns,"TaKarRa Bio USA, Inc.",639209
dNTP Mixture 2.5 mM each,"TaKarRa Bio USA, Inc.",4030
Zymo DNA Clean & Concentrator-5 (Capped),Zymo Research,D4014
Invitrogen Qubit Assay Tubes,"Thermo Fisher Scientific, Inc.",Q32856
Invitrogen Qubit 1X dsDNA BR Assay,"Thermo Fisher Scientific, Inc.",Q33266
,,
